21:45:29 | INFO     | OrderManager    | Order #96: BUY 10 AAPL @ 100
21:45:32 | INFO     | OrderManager    | Order #97: BUY 10 AAPL @ 100
21:45:32 | INFO     | OrderManager    | Order #98: BUY 10 AAPL @ 100
21:45:32 | INFO     | OrderManager    | Order #99: BUY 10 AAPL @ 100
21:45:35 | INFO     | OrderManager    | Order #100: BUY 10 AAPL @ 100
21:45:35 | INFO     | OrderManager    | Order #101: BUY 10 AAPL @ 100
21:45:35 | INFO     | OrderManager    | Order #102: BUY 10 AAPL @ 100
21:45:38 | INFO     | OrderManager    | Order #103: BUY 10 AAPL @ 100
21:45:38 | INFO     | OrderManager    | Order #104: BUY 10 AAPL @ 100
21:45:38 | INFO     | OrderManager    | Order #105: BUY 10 AAPL @ 100
21:45:41 | INFO     | OrderManager    | Order #106: BUY 10 AAPL @ 100
21:45:41 | INFO     | OrderManager    | Order #107: BUY 10 AAPL @ 100
21:45:41 | INFO     | OrderManager    | Order #108: BUY 10 AAPL @ 100
21:45:44 | INFO     | OrderManager    | Order #109: BUY 10 AAPL @ 100
21:45:44 | INFO     | OrderManager    | Order #110: BUY 10 AAPL @ 100
21:45:44 | INFO     | OrderManager    | Order #111: BUY 10 AAPL @ 100
21:45:47 | INFO     | OrderManager    | Order #112: BUY 10 AAPL @ 100
21:45:47 | INFO     | OrderManager    | Order #113: BUY 10 AAPL @ 100
21:45:47 | INFO     | OrderManager    | Order #114: BUY 10 AAPL @ 100
21:45:50 | INFO     | OrderManager    | Order #115: BUY 10 AAPL @ 100
21:45:50 | INFO     | OrderManager    | Order #116: BUY 10 AAPL @ 100
21:45:50 | INFO     | OrderManager    | Order #117: BUY 10 AAPL @ 100
21:45:53 | INFO     | OrderManager    | Order #118: BUY 10 AAPL @ 100
21:45:53 | INFO     | OrderManager    | Order #119: BUY 10 AAPL @ 100
21:45:53 | INFO     | OrderManager    | Order #120: BUY 10 AAPL @ 100
21:45:56 | INFO     | OrderManager    | Order #121: BUY 10 AAPL @ 100
21:45:56 | INFO     | OrderManager    | Order #122: BUY 10 AAPL @ 100
21:45:56 | INFO     | OrderManager    | Order #123: BUY 10 AAPL @ 100
21:45:59 | INFO     | OrderManager    | Order #124: BUY 10 AAPL @ 100
21:45:59 | INFO     | OrderManager    | Order #125: BUY 10 AAPL @ 100
21:45:59 | INFO     | OrderManager    | Order #126: BUY 10 AAPL @ 100
21:46:02 | INFO     | OrderManager    | Order #127: BUY 10 AAPL @ 100
21:46:02 | INFO     | OrderManager    | Order #128: BUY 10 AAPL @ 100
21:46:02 | INFO     | OrderManager    | Order #129: BUY 10 AAPL @ 100
21:46:05 | INFO     | OrderManager    | Order #130: BUY 10 AAPL @ 100
21:46:05 | INFO     | OrderManager    | Order #131: BUY 10 AAPL @ 100
21:46:05 | INFO     | OrderManager    | Order #132: BUY 10 AAPL @ 100
21:46:08 | INFO     | OrderManager    | Order #133: BUY 10 AAPL @ 100
21:46:08 | INFO     | OrderManager    | Order #134: BUY 10 AAPL @ 100
21:46:08 | INFO     | OrderManager    | Order #135: BUY 10 AAPL @ 100
21:46:11 | INFO     | OrderManager    | Order #136: BUY 10 AAPL @ 100
21:46:11 | INFO     | OrderManager    | Order #137: BUY 10 AAPL @ 100
21:46:11 | INFO     | OrderManager    | Order #138: BUY 10 AAPL @ 100
21:46:14 | INFO     | OrderManager    | Order #139: BUY 10 AAPL @ 100
21:46:14 | INFO     | OrderManager    | Order #140: BUY 10 AAPL @ 100
21:46:14 | INFO     | OrderManager    | Order #141: BUY 10 AAPL @ 100
21:46:17 | INFO     | OrderManager    | Order #142: BUY 10 AAPL @ 100
21:46:17 | INFO     | OrderManager    | Order #143: BUY 10 AAPL @ 100
21:46:17 | INFO     | OrderManager    | Order #144: BUY 10 AAPL @ 100
21:46:20 | INFO     | OrderManager    | Order #145: BUY 10 AAPL @ 100
21:46:20 | INFO     | OrderManager    | Order #146: BUY 10 AAPL @ 100
21:46:20 | INFO     | OrderManager    | Order #147: BUY 10 AAPL @ 100
21:46:23 | INFO     | OrderManager    | Order #148: BUY 10 AAPL @ 100
21:46:23 | INFO     | OrderManager    | Order #149: BUY 10 AAPL @ 100
21:46:23 | INFO     | OrderManager    | Order #150: BUY 10 AAPL @ 100
21:46:26 | INFO     | OrderManager    | Order #151: BUY 10 AAPL @ 100
21:46:26 | INFO     | OrderManager    | Order #152: BUY 10 AAPL @ 100
21:46:26 | INFO     | OrderManager    | Order #153: BUY 10 AAPL @ 100
21:46:29 | INFO     | OrderManager    | Order #154: BUY 10 AAPL @ 100
21:46:29 | INFO     | OrderManager    | Order #155: BUY 10 AAPL @ 100
21:46:29 | INFO     | OrderManager    | Order #156: BUY 10 AAPL @ 100
21:46:32 | INFO     | OrderManager    | Order #157: BUY 10 AAPL @ 100
21:46:32 | INFO     | OrderManager    | Order #158: BUY 10 AAPL @ 100
21:46:32 | INFO     | OrderManager    | Order #159: BUY 10 AAPL @ 100
21:46:35 | INFO     | OrderManager    | Order #160: BUY 10 AAPL @ 100
21:46:35 | INFO     | OrderManager    | Order #161: BUY 10 AAPL @ 100
21:46:35 | INFO     | OrderManager    | Order #162: BUY 10 AAPL @ 100
21:46:38 | INFO     | OrderManager    | Order #163: BUY 10 AAPL @ 100
21:46:38 | INFO     | OrderManager    | Order #164: BUY 10 AAPL @ 100
21:46:38 | INFO     | OrderManager    | Order #165: BUY 10 AAPL @ 100
21:46:41 | INFO     | OrderManager    | Order #166: BUY 10 AAPL @ 100
21:46:41 | INFO     | OrderManager    | Order #167: BUY 10 AAPL @ 100
21:46:41 | INFO     | OrderManager    | Order #168: BUY 10 AAPL @ 100
21:46:44 | INFO     | OrderManager    | Order #169: BUY 10 AAPL @ 100
21:46:44 | INFO     | OrderManager    | Order #170: BUY 10 AAPL @ 100
21:46:44 | INFO     | OrderManager    | Order #171: BUY 10 AAPL @ 100
21:46:47 | INFO     | OrderManager    | Order #172: BUY 10 AAPL @ 100
21:46:47 | INFO     | OrderManager    | Order #173: BUY 10 AAPL @ 100
21:46:47 | INFO     | OrderManager    | Order #174: BUY 10 AAPL @ 100
21:46:50 | INFO     | OrderManager    | Order #175: BUY 10 AAPL @ 100
21:46:50 | INFO     | OrderManager    | Order #176: BUY 10 AAPL @ 100
21:46:50 | INFO     | OrderManager    | Order #177: BUY 10 AAPL @ 100
